Name Product,Price,Old Price,Promotion
Xiaomi Pad 5 (6GB/256GB),9.650.000 ₫,9.790.000 ₫,Thu cũ đổi mới - Trợ giá đến 300.000đ
Apple iPad Pro 11 2021 M1 5G 128GB I Chính hãng Apple Việt Nam ,24.700.000 ₫,26.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Apple iPad Pro 12.9 2021 M1 5G 128GB I Chính hãng Apple Việt Nam ,29.500.000 ₫,33.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Apple iPad Pro 12.9 2021 M1 WiFi 256GB I Chính hãng Apple Việt Nam ,27.000.000 ₫,33.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Apple iPad Pro 11 2021 M1 WiFi 512GB I Chính hãng Apple Việt Nam ,27.000.000 ₫,31.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
iPad Pro 11 2020 WiFi 128GB I Chính hãng Apple Việt Nam ,21.000.000 ₫,21.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
iPad Air 5 (2022) 5G 256GB I Chính hãng Apple Việt Nam,24.990.000 ₫,,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
iPad Air 5 (2022) 5G 64GB I Chính hãng Apple Việt Nam,20.990.000 ₫,,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
iPad Air 10.9 2020 4G 256GB I Chính hãng Apple Việt Nam ,20.500.000 ₫,23.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Apple iPad Pro 12.9 2021 M1 5G 256GB I Chính hãng Apple Việt Nam ,31.000.000 ₫,37.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
iPad Pro 12.9 2020 WiFi 128GB I Chính hãng Apple Việt Nam ,23.500.000 ₫,27.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Apple iPad mini 5 WiFi 256GB Chính Hãng,13.220.000 ₫,14.500.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
iPad Pro 11 2020 WiFi 256GB I Chính hãng Apple Việt Nam ,23.500.000 ₫,26.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Máy đọc sách Kindle Paperwhite 4 Gen 10 8GB,3.090.000 ₫,3.990.000 ₫,
Samsung Galaxy Tab A7 (2020),7.750.000 ₫,7.990.000 ₫,Tặng bao da cho Samsung Galaxy Tab A7
Máy tính bảng Lenovo Tab M10 FHD Plus (ZA5V0362VN),5.390.000 ₫,6.490.000 ₫,
iPad 10.2 2020 WiFi 128GB I Chính hãng Apple Việt Nam ,11.990.000 ₫,,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Apple iPad Pro 12.9 2021 M1 5G 2TB I Chính hãng Apple Việt Nam ,62.990.000 ₫,63.990.000 ₫,
iPad 10.2 2021 4G 256GB | Chính hãng Apple Việt Nam,16.500.000 ₫,17.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
iPad Pro 11 2020 4G 128GB I Chính hãng Apple Việt Nam ,22.000.000 ₫,26.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Máy đọc sách Kindle Paperwhite 4 Gen 10 32GB,3.890.000 ₫,4.790.000 ₫,
Apple iPad Pro 11 2021 M1 WiFi 1TB I Chính hãng Apple Việt Nam ,39.000.000 ₫,42.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Apple iPad Pro 11 2021 M1 5G 256GB I Chính hãng Apple Việt Nam ,28.000.000 ₫,29.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Máy tính bảng Amazon Fire 7 Tablet HD7 IPS 1GB 32GB,2.090.000 ₫,2.590.000 ₫,
iPad Pro 12.9 2020 WiFi 256GB I Chính hãng Apple Việt Nam ,26.500.000 ₫,32.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Máy tính bảng Amazon Fire 7 Tablet HD7 IPS 1GB 32GB,2.090.000 ₫,2.590.000 ₫,
iPad Pro 11 2020 4G 256GB I Chính hãng Apple Việt Nam ,25.000.000 ₫,30.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Máy tính bảng Amazon Fire 7 tablet HD7 IPS 1GB 16GB Đen,1.590.000 ₫,2.090.000 ₫,
Máy tính bảng  Amazon Fire 8 Tablet HD8 IPS 2GB 32GB,2.290.000 ₫,,
Apple iPad Pro 11 2021 M1 5G 512GB I Chính hãng Apple Việt Nam ,30.500.000 ₫,35.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Apple iPad Pro 12.9 2021 M1 WiFi 512GB I Chính hãng Apple Việt Nam ,32.000.000 ₫,38.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
iPad Pro 11 2020 WiFi 512GB I Chính hãng Apple Việt Nam ,27.000.000 ₫,32.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
iPad 10.2 2020 4G 32GB I Chính hãng Apple Việt Nam ,13.500.000 ₫,13.590.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Apple iPad Pro 12.9 2021 M1 5G 512GB I Chính hãng Apple Việt Nam ,42.900.000 ₫,42.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
iPad Pro 12.9 2020 4G 128GB I Chính hãng Apple Việt Nam ,27.030.000 ₫,33.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Samsung Galaxy Tab S5E T725 (2019),7.790.000 ₫,12.490.000 ₫,
Apple iPad Pro 11 2021 M1 5G 1TB I Chính hãng Apple Việt Nam ,44.000.000 ₫,45.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
iPad Pro 11 2020 4G 512GB I Chính hãng Apple Việt Nam ,29.000.000 ₫,36.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Apple iPad Pro 12.9 Wi-Fi 512GB,16.900.000 ₫,,
iPad Pro 12.9 2020 WiFi 512GB I Chính hãng Apple Việt Nam ,29.000.000 ₫,34.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
iPad 10.2 2020 4G 128GB I Chính hãng Apple Việt Nam ,14.850.000 ₫,15.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Apple iPad Pro 11 2018 Wi-fi 256GB,24.900.000 ₫,,
Apple iPad Pro 11 2021 M1 5G 2TB I Chính hãng Apple Việt Nam ,54.000.000 ₫,55.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Samsung Galaxy Tab S7 Plus Lite,23.990.000 ₫,,
Samsung Galaxy Tab S8 FE,Đăng ký nhận tin,,
